"Identificador de URL";Nombre;Categorías;Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en mi tienda en línea";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
L1;"Lijas Metalicas 6 Mm Marca Coltene";"CUÑAS-BANDAS-HILOS R";6,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
165-1;"Hilo Retractor GingiBRAID #1 Kerr";"CUÑAS-BANDAS-HILOS R";9,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
8809370410080;"Hilo Retractor #1 (305cm) Smartcord";"CUÑAS-BANDAS-HILOS R";12,790.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
165;"Hilo Retractor #1 (244cm) ULTRAPAK";"CUÑAS-BANDAS-HILOS R";17,400.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
8809370410059;"Hilo Retractor #000 (305cm) Smartcord";"CUÑAS-BANDAS-HILOS R";12,790.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
600;"Hilo Retractor #00 (244cm) I-Pak";"CUÑAS-BANDAS-HILOS R";11,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
8809370410073;"Hilo Retractor #0 (305cm) Smartcord";"CUÑAS-BANDAS-HILOS R";12,790.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
32;"Cuñas Plasticas Machtig (S, M, L)";"CUÑAS-BANDAS-HILOS R";5,690.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
31;"Cuñas De Madera Xxl. Machtig";"CUÑAS-BANDAS-HILOS R";6,590.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
30;"Cuñas De Madera Xs. Cotisen";"CUÑAS-BANDAS-HILOS R";6,590.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
29;"Cuñas De Madera XL. Cotisen";"CUÑAS-BANDAS-HILOS R";6,590.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
28;"Cuñas De Madera S. Cotisen";"CUÑAS-BANDAS-HILOS R";6,590.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
29-2;"Cuñas De Madera Marca TDV Surtida";"CUÑAS-BANDAS-HILOS R";4,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
29-1;"Cuñas De Madera Marca Kerr Surtida";"CUÑAS-BANDAS-HILOS R";8,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
27;"Cuñas De Madera M. Cotisen";"CUÑAS-BANDAS-HILOS R";6,590.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
26;"Cuñas De Madera L. Cotisen";"CUÑAS-BANDAS-HILOS R";6,590.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
549-7;"Banda Natriz Sydent 7mm X 3mtrs";"CUÑAS-BANDAS-HILOS R";2,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7898561546173;"Banda Matriz Universal Maquira Pequeño";"CUÑAS-BANDAS-HILOS R";15,590.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7898561546197;"Banda Matriz Universal Maquira Grande";"CUÑAS-BANDAS-HILOS R";15,590.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
549-5;"Banda Matriz Metalica Skydent 5mm x 3mtrs";"CUÑAS-BANDAS-HILOS R";2,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
549-2;"Banda Matriz 7mm x 3mts. Marca Clic Dental";"CUÑAS-BANDAS-HILOS R";4,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
252;"Banda Matriz 6mm/0.05mm.15m. Kerr";"CUÑAS-BANDAS-HILOS R";3,900.00;;0.00;0.00;0.00;0.00;4;;;SÍ;NO;;;;;;SÍ;;;;
549-1;"Banda Matriz 5mm x 3mts.TDV";"CUÑAS-BANDAS-HILOS R";3,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
412;"Sutura De Seda Negra Ehros (triangular 3/8, 3.0) 17mm";CIRUGIA;6,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
24-2;"Sutura De Seda Negra Ehros (triangular 1/2, 4/0) 17mm";CIRUGIA;7,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
24-1;"Sutura De Seda Negra Ehros (Circular 1/2, 4/0) 17mm";CIRUGIA;7,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
24;"Sutura De Seda Negra Ehros (Circular 1/2, 3.0) 17mm";CIRUGIA;7,990.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
414-9;"Sutura De Seda 3/0 SkyDent 3/8 Triangulo 25mm";CIRUGIA;6,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
34-1;"Hojas De Bisturi Ehros Por Unidad";CIRUGIA;200.00;;0.00;0.00;0.00;0.00;50;;;SÍ;NO;;;;;;SÍ;;;;
598;"Gelita. Surgispon";CIRUGIA;5,500.00;;0.00;0.00;0.00;0.00;6;;;SÍ;NO;;;;;;SÍ;;;;
120;"Gasas Quirurgicas Non Woven Machtig (5x5 Cm)";CIRUGIA;1,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
122;"Gasa Paquete 2X2-4PLY 200Pieces";CIRUGIA;1,590.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
34-2;"Caja Hojas De Bisturi Ehros 100 Unidades Numero 15";CIRUGIA;12,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
34;"Caja Hojas De Bisturi Ehros 100 Unidades Numero 11";CIRUGIA;12,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7800004001101;"Anestesia Topico Doldent 7.5% Gel 10 Gr";CIRUGIA;5,000.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
428;"Anestesia Isocaina 3%";CIRUGIA;40,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
7800004001842;"Anestesia Intracarelido-E Al 2% Tub-Plast Laboratorios Maver";CIRUGIA;28,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
7894590502050;"Anestesia ARTICAINE100 al 4% Marca Dfl";CIRUGIA;45,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7894590533177;"Anestesia Alphacaine100 Al 2% Lidocaina";CIRUGIA;34,000.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
7804629340072;"Aguja Dental Misawa Corta (12mm)";CIRUGIA;9,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
1226-3;"Aguja Corta Sirio 30G 1/2 Xs";CIRUGIA;8,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
6952367911663;"Aguja Corta 30G Dental Needle";CIRUGIA;6,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
6931718110290;"Cepillos Para Protesis";"CEPILLOS DENTALES";2,990.00;;0.00;0.00;0.00;0.00;8;;;SÍ;NO;;;;;;SÍ;;;;
388;"Cepillo Tepe Compact Tuft";"CEPILLOS DENTALES";4,000.00;;0.00;0.00;0.00;0.00;5;;;SÍ;NO;;;;;;SÍ;;;;
3014260278939;"Cepillo Dental Oral-B 4-24 Meses Extra Suave";"CEPILLOS DENTALES";3,990.00;;0.00;0.00;0.00;0.00;49;;;SÍ;NO;;;;;;SÍ;;;;
7612412700077;"Cepillo Curaprox Ortho Ultra Soft";"CEPILLOS DENTALES";5,290.00;;0.00;0.00;0.00;0.00;10;;;SÍ;NO;;;;;;SÍ;;;;
7612412156003;"Cepillo CuraProx 1560 Soft";"CEPILLOS DENTALES";5,500.00;;0.00;0.00;0.00;0.00;5;;;SÍ;NO;;;;;;SÍ;;;;
7898288140203;"EUGENOL Marca Lysanda";CEPILLOS;4,500.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
136-2;"Escobillas Para Profilaxis Cerda Suave Copa Fina";CEPILLOS;200.00;;0.00;0.00;0.00;0.00;68;;;SÍ;NO;;;;;;SÍ;;;;
410-1;"Escobilla Para Pulir Occlubrush X Unidad";CEMENTOS;2,400.00;;0.00;0.00;0.00;0.00;10;;;SÍ;NO;;;;;;SÍ;;;;
7897808337345;"Cemento Temporal Tempcemne. Vigodent";CEMENTOS;31,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
222;"Cemento Resinoso Universal Maxcem Elite Chroma Kerr";CEMENTOS;39,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
305;"Separador Labial Abreboca Frontal Machtig (L) (S)";BLANQUEAMIENTOS;2,600.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
286;"Optragate Abreboca. Cotisen";BLANQUEAMIENTOS;3,000.00;;0.00;0.00;0.00;0.00;3;;;SÍ;NO;;;;;;SÍ;;;;
178;"Jeringa De Blanqueamiento. Opalescence 15% (Regular- Menta)";BLANQUEAMIENTOS;16,990.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
178-9;"Jeringa De Blanqueamiento Opalescence 15% OFERTA";BLANQUEAMIENTOS;10,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7898288142139;"Jeringa De Blanqueamiento Lysmile 22";BLANQUEAMIENTOS;5,490.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7898288147134;"Blanqueamiento Profesional LYSMILE 35%";BLANQUEAMIENTOS;18,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
485;"Blanqueador Opalescence Boost 40% Ultradent + Opaldam";BLANQUEAMIENTOS;35,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
485-5;"Blanqueador Opalescence 20% Ultradent Pf Mint";BLANQUEAMIENTOS;15,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
485-3;"Blanqueador Opalescence 15% Ultradent Pf Regular";BLANQUEAMIENTOS;15,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
485-2;"Blanqueador Opalescence 15% Ultradent Pf Mint";BLANQUEAMIENTOS;15,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
528-1;"Torulas De Algodon Lisas. Krems. 500unid";ALGODON;3,900.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
9;"Torulas De Algodon Lisas MACHTIG 600 Unidades";ALGODON;3,500.00;;0.00;0.00;0.00;0.00;10;;;SÍ;NO;;;;;;SÍ;;;;
9-1;"Torula De Algodon Lisa Marca Skydent";ALGODON;3,500.00;;0.00;0.00;0.00;0.00;11;;;SÍ;NO;;;;;;SÍ;;;;
7898288142481;"Silano Lysanda";ACIDOS;7,000.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
215-1;"Silane Ultradent 1,2ml";ACIDOS;10,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7898032320240;"Desensibilize KF FGM";ACIDOS;8,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
7898229803082;"Acido Ortofosfòrico Microdont 37% 3 Jer. 2.5ml";ACIDOS;4,500.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
7898288140753;"Acido Ortofosfòrico Lysanda 37% 3 Jer. 2.5ml";ACIDOS;4,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
170;"Acido Orthofosforico Kerr 3 Jeringas";ACIDOS;8,500.00;;0.00;0.00;0.00;0.00;1;;;SÍ;NO;;;;;;SÍ;;;;
171;"Acido Fosforico Gelacid 37%";ACIDOS;3,000.00;;0.00;0.00;0.00;0.00;10;;;SÍ;NO;;;;;;SÍ;;;;
7899633829941;"Acido Fosforico Gel Condac 37% FGM 3 Jeringas";ACIDOS;5,500.00;;0.00;0.00;0.00;0.00;4;;;SÍ;NO;;;;;;SÍ;;;;
12-9;"Ac. Fluoridico 9 % Porcelain Etch";ACIDOS;10,000.00;;0.00;0.00;0.00;0.00;2;;;SÍ;NO;;;;;;SÍ;;;;
